library	timepoint	n_runs	expect_cells	description
zBr5dpf1_S7	5dpf	4		
zBr5dpf2_S3	5dpf	4		
zBr5dpf3_S4	5dpf	4		
zBr5dpf4_S1	5dpf	8		
zBr5dpf5_S2	5dpf	8		
zBr5dpf6_S3	5dpf	8		
zBr5dpf7_S4	5dpf	8		
zBr5dpf8_S5	5dpf	8		
zBr5dpf9_S6	5dpf	8		
zBr8dp11_S7	8dpf	8		
zBr8dpf10_S6	8dpf	8		
zBr8dpf12_S3	8dpf	4		
zBr8dpf13_S1	8dpf	8		
zBr8dpf1_S1	8dpf	4		
zBr8dpf2_S2	8dpf	4		
zBr8dpf3_S3	8dpf	4		
zBr8dpf4_S4	8dpf	4		
zBr8dpf5_S5	8dpf	4		
zBr8dpf6_S6	8dpf	4		
zBr8dpf7_S3	8dpf	8		
zBr8dpf8_S4	8dpf	8		
zBr8dpf9_S5	8dpf	8		
